               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078155,            0.022893,            0.030836,             0.62517,                 0.5,             0.33939,             0.24545,            0.018978,            0.010178,            0.011311,              0.0025,              0.0025,              0.0775
                   1,            0.053825,            0.026417,            0.031173,             0.47356,             0.55556,             0.20455,              0.1137,            0.014127,           0.0086553,           0.0099583,            0.004999,            0.004999,            0.053999
                   2,            0.048669,            0.023818,             0.03111,              0.4982,             0.36111,             0.26175,            0.092746,            0.025111,            0.010511,           0.0099238,           0.0073951,           0.0073951,            0.030395
                   3,            0.045069,            0.022904,            0.026482,             0.45237,             0.13887,            0.078001,            0.024139,            0.027168,            0.011246,           0.0098005,            0.009406,            0.009406,            0.009406
                   4,            0.041105,             0.02401,            0.027905,             0.42111,             0.47222,             0.16366,            0.045207,            0.013144,            0.013426,           0.0097605,            0.009406,            0.009406,            0.009406
                   5,            0.038441,            0.023586,            0.027848,             0.83244,             0.11111,              0.1344,            0.075825,            0.022875,            0.018063,           0.0075129,            0.009208,            0.009208,            0.009208
                   6,            0.040631,            0.022903,            0.028357,             0.51191,              0.4053,             0.18077,            0.098852,            0.012398,           0.0097514,           0.0090056,             0.00901,             0.00901,             0.00901
                   7,            0.035627,             0.02237,            0.026698,             0.45908,             0.30556,             0.17968,            0.065124,           0.0092887,           0.0084413,           0.0096115,            0.008812,            0.008812,            0.008812
                   8,            0.029597,             0.02301,            0.024789,             0.52052,             0.58333,             0.32375,             0.15988,           0.0096707,           0.0067554,           0.0088125,            0.008614,            0.008614,            0.008614
                   9,            0.032145,             0.02122,            0.026362,             0.80021,             0.35835,             0.42572,             0.17072,           0.0075301,            0.007906,             0.00891,            0.008416,            0.008416,            0.008416
                  10,            0.032184,            0.020864,            0.029594,              0.3979,             0.77778,              0.4028,             0.14025,            0.010807,           0.0074292,           0.0090445,            0.008218,            0.008218,            0.008218
                  11,            0.029359,            0.020246,            0.026227,             0.69251,             0.30556,             0.37896,             0.25239,           0.0079419,           0.0077971,           0.0083993,             0.00802,             0.00802,             0.00802
                  12,            0.027634,            0.019519,            0.025128,             0.67467,             0.33264,             0.41135,             0.19536,           0.0076898,           0.0069574,           0.0080655,            0.007822,            0.007822,            0.007822
                  13,            0.025955,              0.0189,            0.025435,             0.59763,             0.55556,             0.42708,             0.21257,           0.0065959,            0.006345,           0.0081102,            0.007624,            0.007624,            0.007624
                  14,            0.024784,            0.018307,            0.024471,             0.80808,             0.52706,             0.58168,             0.39381,           0.0067266,           0.0057569,            0.008332,            0.007426,            0.007426,            0.007426
                  15,            0.024556,             0.01693,            0.024674,             0.83046,             0.38794,             0.44878,             0.26548,            0.007498,           0.0057931,           0.0079142,            0.007228,            0.007228,            0.007228
                  16,             0.02415,            0.018139,            0.024846,             0.75151,             0.47222,             0.49615,             0.36568,           0.0071735,              0.0053,            0.007433,             0.00703,             0.00703,             0.00703
                  17,            0.020166,            0.015856,            0.022848,             0.86248,             0.49885,             0.58187,             0.44797,           0.0049928,           0.0042467,            0.007101,            0.006832,            0.006832,            0.006832
                  18,            0.023691,            0.016685,            0.023673,             0.85923,             0.47053,             0.56772,             0.37501,           0.0063835,           0.0056582,           0.0072999,            0.006634,            0.006634,            0.006634
                  19,            0.025065,            0.016599,            0.024295,             0.90899,              0.5346,             0.65563,             0.53383,           0.0052064,           0.0043737,           0.0080858,            0.006436,            0.006436,            0.006436
                  20,            0.021354,            0.016175,            0.023047,             0.92836,             0.55476,              0.7019,              0.5901,           0.0051022,           0.0032688,           0.0066739,            0.006238,            0.006238,            0.006238
                  21,            0.022979,            0.015935,            0.024519,             0.84922,             0.60985,             0.58492,             0.46581,           0.0060054,           0.0041648,           0.0064534,             0.00604,             0.00604,             0.00604
                  22,            0.024113,            0.015698,            0.023901,             0.76165,             0.58333,             0.71434,             0.52414,           0.0062329,           0.0049344,           0.0059283,            0.005842,            0.005842,            0.005842
                  23,            0.023968,            0.017223,            0.025587,             0.65173,             0.60936,             0.51949,             0.36875,           0.0054535,           0.0055248,            0.006438,            0.005644,            0.005644,            0.005644
                  24,            0.018287,               0.016,            0.021065,             0.49575,             0.83333,             0.73045,             0.57006,           0.0056966,           0.0052236,           0.0054772,            0.005446,            0.005446,            0.005446
                  25,             0.02154,            0.016259,            0.024469,             0.88871,             0.63777,             0.79508,             0.61186,           0.0046899,           0.0041253,             0.00572,            0.005248,            0.005248,            0.005248
                  26,             0.01941,            0.015215,            0.022414,             0.71151,             0.57483,              0.5204,             0.43675,           0.0045791,             0.00375,           0.0088793,             0.00505,             0.00505,             0.00505
                  27,            0.019745,            0.015177,            0.024477,             0.93743,             0.55556,              0.6679,              0.5262,           0.0047488,           0.0037713,           0.0070084,            0.004852,            0.004852,            0.004852
                  28,            0.021172,            0.014758,            0.022863,             0.96678,             0.66667,             0.71036,             0.57917,           0.0046081,           0.0039196,            0.006021,            0.004654,            0.004654,            0.004654
                  29,            0.019341,            0.013787,            0.021328,             0.63195,             0.83333,             0.81889,              0.6535,           0.0045223,           0.0032734,           0.0050085,            0.004456,            0.004456,            0.004456
                  30,            0.019261,            0.014748,            0.021934,             0.76674,             0.83333,             0.82077,             0.63886,           0.0051372,           0.0033838,           0.0055147,            0.004258,            0.004258,            0.004258
                  31,            0.019347,            0.014507,            0.023611,             0.76387,             0.83333,             0.77146,             0.61028,           0.0045503,           0.0040311,           0.0054095,             0.00406,             0.00406,             0.00406
                  32,             0.01722,            0.014064,             0.02325,             0.68043,             0.83333,             0.82143,              0.6779,            0.004296,           0.0033448,           0.0050605,            0.003862,            0.003862,            0.003862
                  33,            0.015892,            0.013821,            0.021148,             0.71488,             0.80556,             0.82362,             0.68436,           0.0045954,           0.0030364,           0.0044878,            0.003664,            0.003664,            0.003664
                  34,            0.015329,            0.013919,            0.020939,             0.90603,             0.66635,              0.8378,             0.73941,           0.0052328,           0.0027927,           0.0055425,            0.003466,            0.003466,            0.003466
                  35,            0.015445,             0.01295,            0.021407,             0.65731,             0.80556,             0.81834,             0.60585,           0.0067258,           0.0032655,           0.0052398,            0.003268,            0.003268,            0.003268
                  36,            0.017759,            0.014114,            0.023178,             0.60588,                0.75,             0.63234,             0.50874,           0.0053669,            0.003498,           0.0097447,             0.00307,             0.00307,             0.00307
                  37,            0.018532,            0.013255,            0.026003,             0.74803,             0.83333,             0.83968,             0.68125,            0.005564,           0.0027603,           0.0041927,            0.002872,            0.002872,            0.002872
                  38,            0.015977,            0.013765,             0.02236,             0.80272,             0.83333,             0.82997,             0.66547,           0.0054907,           0.0028475,           0.0041083,            0.002674,            0.002674,            0.002674
                  39,            0.014188,            0.013213,            0.025071,             0.71795,             0.66667,              0.5899,              0.4795,           0.0044153,           0.0029507,           0.0082114,            0.002476,            0.002476,            0.002476
                  40,            0.017323,            0.014693,            0.023078,             0.65549,             0.57337,             0.53399,             0.45488,           0.0046149,           0.0034855,           0.0093437,            0.002278,            0.002278,            0.002278
                  41,             0.01593,            0.013962,             0.02458,             0.86094,             0.63845,             0.65747,              0.5592,           0.0044064,           0.0032286,           0.0065857,             0.00208,             0.00208,             0.00208
                  42,            0.015601,            0.014567,             0.02292,              0.9419,             0.63861,             0.71961,             0.59233,           0.0045486,           0.0032507,           0.0058134,            0.001882,            0.001882,            0.001882
                  43,            0.013182,            0.014143,            0.020662,              0.9709,             0.63889,             0.73019,             0.59085,           0.0043316,           0.0034621,           0.0053964,            0.001684,            0.001684,            0.001684
                  44,            0.015524,            0.015196,            0.021189,             0.94859,             0.66667,             0.72681,             0.59925,           0.0043173,           0.0033729,           0.0054782,            0.001486,            0.001486,            0.001486
                  45,            0.013128,            0.014017,            0.019638,             0.96784,             0.66614,             0.71993,             0.62623,           0.0037988,           0.0030975,           0.0054787,            0.001288,            0.001288,            0.001288
                  46,            0.013735,            0.013765,            0.019915,             0.97435,             0.65823,             0.76301,              0.6509,           0.0039484,           0.0029789,           0.0051655,             0.00109,             0.00109,             0.00109
                  47,            0.015615,            0.013359,            0.025363,             0.97201,             0.61971,             0.74431,             0.61425,           0.0044348,           0.0030506,           0.0048344,            0.000892,            0.000892,            0.000892
                  48,            0.014124,            0.013522,            0.020849,             0.97059,             0.62078,             0.74074,             0.61571,           0.0044898,           0.0030305,           0.0046747,            0.000694,            0.000694,            0.000694
                  49,            0.014883,            0.013209,            0.020659,             0.97186,             0.60532,             0.74278,             0.62854,           0.0042866,           0.0029135,           0.0046711,            0.000496,            0.000496,            0.000496
